"Season","Team","G","AB","PA","AVG","ISO","WAR","Spd","Def"
"2000","Blue Jays","1871","5677","6326",".275",".194","20.6","4.3","-15.1"
"1924","Cardinals","1755","5349","5909",".290",".121","19.8","5.2","10.0"
"1995","Mariners","1569","4996","5671",".276",".173","22.5","4.7","-7.5"
"1927","Cardinals","1687","5207","5888",".278",".129","27.9","5.7","82.5"
"2001","Rangers","1897","5685","6388",".275",".195","22.4","4.5","-61.8"
"1935","Indians","1723","5534","6097",".284",".137","18.8","4.8","48.6"
"1920","Senators","1627","5251","5938",".290",".096","18.2","5.9","-18.9"
"1922","Phillies","1677","5459","6088",".282",".133","9.8","4.1","25.4"
"1949","Athletics","1670","5123","6048",".260",".109","22.0","4.0","61.3"
"1947","Pirates","1864","5306","6006",".261",".145","17.2","3.8","8.4"
"1945","Dodgers","1841","5415","6180",".271",".105","24.6","5.0","15.7"
"1927","Cubs","1652","5299","6014",".284",".116","26.1","4.9","57.9"
"2006","Blue Jays","2329","5596","6241",".284",".179","25.4","4.1","3.4"
"2008","Cubs","2345","5588","6384",".278",".165","31.0","4.2","70.9"
"1999","Red Sox","1862","5579","6321",".278",".170","24.2","4.4","23.0"
"1936","Red Sox","1704","5383","6098",".276",".124","8.3","4.4","36.9"
"1982","Brewers","1638","5733","6337",".279",".176","35.9","4.7","-4.5"
"1996","Yankees","1734","5628","6414",".288",".148","18.6","4.5","-66.6"
"1934","Cardinals","1757","5500","5986",".288",".137","24.0","5.1","42.3"
"1953","Indians","1872","5264","5996",".270",".140","29.9","3.5","35.8"
"1999","Diamondbacks","2099","5657","6414",".277",".182","27.3","5.4","84.6"
"1954","Yankees","2044","5225","6026",".268",".140","33.0","4.3","58.4"
"1952","Indians","1869","5330","6060",".262",".141","32.6","4.2","36.6"
"1919","Tigers","1457","4665","5330",".283",".098","21.9","5.9","-12.1"
"1956","Yankees","1928","5306","6069",".270",".165","33.8","4.5","68.6"
"1931","Giants","1707","5372","5840",".289",".127","29.3","5.2","68.9"
"1956","Tigers","1880","5364","6143",".279",".141","27.2","4.2","21.7"
"1996","Brewers","1803","5662","6434",".279",".162","19.4","4.9","-13.2"
"1988","Red Sox","1644","5545","6334",".283",".137","31.7","4.3","-15.4"
"1949","Giants","1903","5308","6009",".261",".141","23.6","4.2","51.8"
"1937","White Sox","1638","5277","5956",".280",".120","18.8","5.4","87.9"
"1987","Tigers","1913","5649","6444",".272",".179","30.4","4.6","-13.2"
"1979","Angels","1667","5550","6311",".282",".148","24.9","4.8","-68.2"
"2011","Rangers","2186","5659","6261",".283",".177","34.6","5.1","17.2"
"1931","Cardinals","1758","5435","5989",".286",".125","25.4","5.6","54.1"
"1984","Red Sox","1716","5648","6251",".283",".158","24.8","3.9","-42.7"
"1999","Giants","2107","5563","6449",".271",".163","22.4","4.3","-1.1"
"1982","Angels","1779","5532","6350",".274",".159","34.1","3.4","31.3"
