"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"1965","Twins","2171","6213","150","774","711","92","8.9 %","15.6 %",".144",".281",".254",".324",".399",".319","100","6.2","8.9","106.1","32.0"
"1925","Pirates","1676","6036","78","912","820","159","8.3 %","6.0 %",".141",".319",".307",".369",".449",".375","106","17.4","68.2","60.1","32.0"
"2014","Dodgers","2364","6231","134","718","686","138","8.3 %","20.0 %",".140",".318",".265",".333",".406",".327","112","-0.8","81.0","25.7","32.0"
"1962","Yankees","2053","6393","199","817","791","42","9.1 %","13.2 %",".159",".281",".267",".337",".426",".338","107","-2.6","54.0","74.4","32.0"
"1997","Braves","2208","6315","174","791","755","108","9.5 %","18.4 %",".156",".310",".270",".343",".426",".338","101","-2.9","7.4","114.3","31.8"
"1920","Indians","1672","6067","35","856","757","73","9.5 %","6.2 %",".115",".321",".303",".376",".417",".374","108","-3.0","58.5","44.3","31.8"
"1923","Yankees","1625","6036","105","824","771","69","8.5 %","8.5 %",".132",".307",".291",".357",".423",".363","105","-3.4","37.1","88.7","31.8"
"1965","Braves","2139","6077","196","708","664","64","6.7 %","16.1 %",".160",".278",".256",".310",".416",".321","104","-0.8","29.9","69.4","31.7"
"1990","Pirates","2217","6161","138","733","693","137","9.4 %","14.8 %",".146",".286",".259",".330",".405",".328","104","4.6","32.9","55.8","31.7"
"1988","Red Sox","1644","6334","124","813","760","65","9.8 %","11.5 %",".137",".304",".283",".357",".420",".348","115","-6.0","103.9","-15.4","31.7"
"1935","Tigers","1584","6182","106","919","836","70","10.2 %","7.3 %",".145",".302",".290",".366",".435",".368","106","-8.0","42.3","75.0","31.7"
"1975","Athletics","2238","6185","151","758","703","183","9.8 %","13.7 %",".136",".275",".254",".333",".391",".332","111","5.9","81.3","20.4","31.6"
"1961","Tigers","2022","6366","179","840","777","98","10.6 %","13.5 %",".155",".286",".266",".347",".421",".342","101","7.1","17.4","96.8","31.5"
"1980","Orioles","1865","6282","156","805","751","111","9.3 %","12.2 %",".140",".290",".273",".342",".413",".339","111","6.2","85.2","7.4","31.5"
"1958","Braves","1849","5858","167","675","641","26","8.2 %","11.0 %",".146",".274",".266",".329",".412",".327","102","5.4","19.2","99.7","31.5"
"2009","Phillies","2285","6338","224","820","788","119","9.3 %","18.2 %",".189",".286",".258",".334",".447",".339","103","20.0","42.5","68.9","31.5"
"1949","Red Sox","1625","6245","131","895","834","43","13.4 %","8.2 %",".138",".293",".282",".381",".420",".378","106","-3.4","41.3","61.9","31.5"
"1977","Reds","2096","6265","181","802","750","170","9.6 %","14.5 %",".162",".297",".274",".345",".436",".344","108","12.7","69.9","34.7","31.5"
"1963","Cardinals","2054","6269","128","747","697","77","7.3 %","14.5 %",".132",".303",".272",".327",".404",".323","101","1.7","10.7","66.0","31.5"
"2008","Phillies","2396","6273","214","799","762","136","9.3 %","17.8 %",".182",".283",".255",".332",".438",".334","98","23.6","4.7","107.5","31.4"
"1973","Reds","2209","6304","137","741","686","148","10.1 %","15.0 %",".129",".282",".254",".332",".383",".323","102","11.0","22.3","80.4","31.4"
"1988","Athletics","1870","6356","156","800","752","129","9.1 %","14.6 %",".136",".288",".263",".336",".399",".332","113","0.0","92.3","-6.3","31.4"
"1975","Dodgers","2028","6227","118","648","604","138","9.8 %","13.2 %",".117",".272",".249",".326",".366",".317","96","8.5","-20.5","120.6","31.4"
"1997","Indians","1917","6304","220","868","810","118","9.8 %","15.1 %",".181",".309",".286",".358",".467",".360","113","-1.4","106.5","-8.1","31.3"
"2002","Mariners","2251","6362","152","814","771","137","9.9 %","15.8 %",".144",".307",".275",".350",".419",".335","110","12.9","87.6","8.8","31.3"
"1951","Giants","1803","6140","179","780","733","55","10.9 %","10.1 %",".158",".267",".261",".347",".419",".355","105","1.9","40.0","63.3","31.3"
"1998","Giants","2301","6481","161","845","800","102","10.5 %","16.0 %",".147",".308",".274",".353",".421",".341","108","-1.4","63.0","52.7","31.3"
"2000","Angels","1839","6373","236","864","837","93","9.5 %","16.1 %",".193",".303",".280",".352",".472",".356","106","-4.5","49.9","52.7","31.3"
"2010","Rays","2361","6270","160","802","769","172","10.7 %","20.6 %",".156",".293",".247",".333",".403",".326","106","37.6","78.6","8.7","31.2"
"1937","Cubs","1724","6027","96","811","762","71","8.9 %","8.2 %",".129",".303",".287",".355",".416",".356","109","10.6","75.5","48.8","31.2"
"2000","Cardinals","2196","6369","235","887","841","87","10.6 %","19.7 %",".185",".308",".270",".356",".455",".353","105","-5.2","36.0","82.1","31.2"
"1998","Red Sox","2043","6302","205","876","827","72","8.6 %","16.6 %",".183",".310",".280",".348",".463",".352","107","-2.7","54.8","44.2","31.1"
"2001","Cardinals","2295","6172","199","814","768","91","8.6 %","17.6 %",".172",".302",".270",".339",".441",".335","101","2.7","11.8","103.0","31.1"
"1951","Yankees","1886","5924","140","798","741","78","10.2 %","9.2 %",".139",".278",".269",".349",".408",".351","108","4.3","66.0","51.5","31.1"
"1930","Senators","1677","6101","57","891","819","101","8.7 %","7.1 %",".124",".321",".302",".369",".426",".361","103","-13.8","14.3","95.7","31.1"
"2008","Rays","2299","6312","180","774","735","142","9.9 %","19.4 %",".162",".302",".260",".340",".422",".335","105","5.6","43.8","52.0","31.1"
"2003","Mariners","2180","6281","139","795","759","108","9.3 %","15.7 %",".139",".306",".271",".344",".410",".331","104","2.4","36.5","62.6","31.1"
"2015","Giants","2342","6153","136","696","663","93","7.4 %","18.8 %",".139",".313",".267",".326",".406",".318","105","-0.1","33.3","67.6","31.1"
"1952","Dodgers","1869","6068","153","775","725","90","10.9 %","11.5 %",".137",".278",".262",".348",".399",".350","105","5.1","42.9","50.3","31.0"
"1997","Astros","2164","6363","133","777","720","171","9.9 %","17.1 %",".144",".298",".259",".344",".403",".330","100","2.8","4.7","107.8","31.0"
"1991","Pirates","2215","6265","126","768","725","124","9.9 %","14.3 %",".135",".291",".263",".338",".398",".330","109","6.4","70.3","23.1","31.0"
"1989","Giants","2315","6139","141","699","647","87","8.3 %","17.4 %",".140",".285",".250",".316",".390",".315","105","-5.8","25.1","76.2","31.0"
"2008","Cubs","2345","6384","184","855","811","87","10.0 %","18.6 %",".165",".321",".278",".354",".443",".349","104","6.1","33.2","70.9","31.0"
"1948","Yankees","1757","6038","139","855","804","24","10.3 %","7.9 %",".154",".285",".278",".356",".432",".367","109","-7.9","61.5","44.3","31.0"
"2001","Giants","2231","6408","235","799","775","57","9.8 %","17.0 %",".194",".290",".266",".342",".460",".341","108","-7.2","60.2","46.3","30.9"
"2005","Indians","2166","6255","207","790","760","62","8.0 %","17.5 %",".181",".302",".271",".334",".453",".340","110","3.6","76.4","20.2","30.9"
"1954","Indians","1918","6040","156","746","713","30","10.5 %","11.0 %",".141",".272",".262",".341",".403",".342","106","-2.5","41.9","71.4","30.8"
"1999","Reds","2274","6378","209","865","820","164","8.9 %","17.6 %",".179",".304",".272",".341",".451",".344","96","8.4","-25.3","137.4","30.8"
"1969","Twins","2215","6422","163","790","733","115","9.3 %","14.1 %",".141",".292",".268",".340",".409",".338","106","-1.1","41.2","60.0","30.8"
"1966","Orioles","1966","6182","175","754","698","55","8.2 %","15.0 %",".151",".280",".257",".323",".409",".322","109","-2.3","61.9","53.0","30.8"
"1945","Yankees","1636","5925","93","676","639","64","10.4 %","9.6 %",".114",".277",".259",".343",".373",".345","108","-7.2","46.0","61.1","30.8"
"1929","Athletics","1657","5978","122","901","845","63","9.0 %","7.4 %",".155",".305",".296",".365",".450",".371","108","-7.8","59.9","48.1","30.8"
"2007","Tigers","2269","6364","177","887","857","103","7.4 %","16.6 %",".171",".323",".287",".345",".458",".347","108","8.0","75.1","19.4","30.7"
"1987","Mets","2132","6327","192","823","769","159","9.3 %","16.0 %",".166",".294",".267",".339",".434",".335","108","8.4","68.7","24.6","30.7"
"1928","Giants","1758","6099","118","801","758","62","7.2 %","6.1 %",".137",".298",".293",".349",".430",".359","103","9.3","35.5","82.5","30.7"
"1930","Giants","1756","6159","143","959","880","59","6.9 %","6.2 %",".155",".323",".319",".369",".473",".375","103","11.3","42.2","79.2","30.7"
"1986","Yankees","1758","6325","188","797","745","139","10.2 %","14.4 %",".159",".293",".271",".347",".430",".344","114","8.1","112.4","-26.0","30.6"
"1950","Dodgers","1814","6086","194","847","774","77","10.0 %","10.4 %",".172",".279",".272",".349",".444",".362","105","13.7","53.6","65.8","30.6"
"1982","Orioles","1851","6320","179","774","735","49","10.0 %","12.5 %",".153",".280",".266",".341",".419",".339","110","-5.1","71.8","22.6","30.6"
"1926","Reds","1761","6046","35","747","692","51","7.5 %","5.5 %",".110",".304",".290",".349",".400",".351","105","7.4","42.0","82.3","30.5"
"1984","Phillies","2296","6284","147","720","673","186","8.8 %","17.3 %",".141",".304",".266",".333",".407",".330","107","13.1","62.4","19.9","30.5"
"1931","Cubs","1748","6178","84","828","765","49","9.3 %","10.4 %",".133",".316",".289",".360",".422",".362","110","8.4","90.6","27.2","30.5"
"1993","Braves","2086","6234","169","767","712","125","9.0 %","15.2 %",".146",".287",".262",".331",".408",".328","94","6.4","-36.7","121.1","30.5"
