"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"1991","Yankees","1705","6140","147","674","630","109","7.7 %","14.0 %",".131",".277",".256",".316",".387",".316","94","7.4","-37.6","-58.0","10.6"
"1996","Pirates","2279","6336","138","776","738","126","8.0 %","15.6 %",".141",".299",".266",".329",".407",".322","90","1.7","-77.4","-3.6","10.6"
"1964","Indians","2083","6245","164","689","640","79","8.0 %","16.9 %",".133",".277",".248",".313",".381",".308","92","-1.6","-56.4","-17.7","10.6"
"1947","Cubs","1890","5857","71","567","540","22","8.0 %","9.9 %",".102",".280",".259",".321",".361",".321","84","3.3","-119.0","27.5","10.6"
"1967","Senators","2179","6043","115","550","521","53","7.8 %","17.1 %",".103",".254",".223",".288",".326",".280","83","0.3","-104.9","40.4","10.6"
"1921","Robins","1677","5773","59","667","584","91","5.6 %","6.9 %",".106",".295",".280",".325",".386",".328","87","2.1","-97.0","5.9","10.6"
"1940","Browns","1858","6049","118","757","715","51","9.2 %","10.5 %",".138",".280",".263",".333",".401",".337","86","-9.8","-124.7","14.9","10.6"
"1919","Senators","1525","5374","24","533","458","142","7.7 %","9.5 %",".079",".288",".260",".325",".339",".321","90","1.1","-65.2","-29.1","10.6"
"1987","Indians","1703","6212","187","742","691","140","7.9 %","15.7 %",".158",".287",".263",".324",".422",".325","95","2.6","-35.9","-68.1","10.6"
"1965","Athletics","2201","6058","110","585","546","110","8.6 %","16.8 %",".118",".275",".240",".309",".358",".300","88","3.2","-77.3","-6.6","10.6"
"2000","Pirates","2202","6369","168","793","749","86","8.9 %","16.2 %",".157",".299",".267",".339",".424",".333","91","-0.4","-82.5","-14.3","10.6"
"1950","Cubs","1889","5794","161","643","615","46","8.3 %","13.2 %",".153",".264",".248",".315",".401",".328","85","7.7","-101.4","23.7","10.5"
"2007","Giants","2371","6213","131","683","641","119","8.6 %","14.6 %",".133",".281",".254",".322",".387",".310","81","-4.7","-158.1","60.6","10.5"
"1959","Orioles","2092","5883","109","550","514","36","9.1 %","11.7 %",".107",".255",".238",".310",".345",".296","84","-0.4","-110.5","44.8","10.5"
"1952","Reds","1823","5785","104","615","562","32","8.3 %","12.3 %",".117",".271",".249",".314",".366",".318","85","-4.7","-106.4","15.5","10.5"
"2008","Giants","2382","6145","94","640","606","108","7.4 %","17.0 %",".120",".305",".262",".321",".382",".309","83","-15.4","-149.4","55.5","10.5"
"1990","Astros","2277","6074","94","573","536","179","9.0 %","16.4 %",".103",".279",".242",".313",".345",".298","85","0.8","-104.8","-7.0","10.5"
"1962","Senators","2135","6072","132","599","566","99","7.7 %","13.0 %",".124",".269",".250",".308",".373",".306","82","-1.0","-134.6","62.7","10.4"
"1998","Diamondbacks","2067","6116","159","665","621","73","8.0 %","20.3 %",".146",".290",".246",".314",".393",".311","82","-2.0","-140.7","54.3","10.4"
"1980","Angels","1721","6134","106","698","655","91","8.8 %","14.5 %",".114",".297",".265",".332",".378",".321","97","-7.6","-26.1","-80.6","10.4"
"2010","Royals","2190","6209","121","676","640","115","7.6 %","14.6 %",".126",".305",".274",".331",".399",".323","98","-28.4","-42.1","-69.5","10.4"
"1971","Angels","2055","6076","96","511","476","72","7.3 %","13.6 %",".098",".255",".231",".291",".329",".282","79","3.0","-135.9","50.8","10.4"
"1993","Dodgers","2208","6261","130","675","639","126","7.9 %","15.0 %",".122",".291",".261",".321",".383",".314","92","1.2","-58.4","-59.1","10.4"
"1986","White Sox","1819","6030","121","644","605","115","8.1 %","15.6 %",".116",".276",".247",".310",".363",".302","80","0.9","-143.1","46.4","10.4"
"2002","Indians","2236","6099","192","739","706","52","8.9 %","16.4 %",".163",".271",".249",".321",".412",".320","95","-12.3","-53.6","-50.4","10.4"
"1999","Cubs","2268","6196","189","747","717","60","9.2 %","18.9 %",".163",".293",".257",".329",".420",".328","88","-7.8","-112.9","20.0","10.4"
"1928","White Sox","1701","5904","24","657","592","144","7.8 %","8.2 %",".087",".294",".270",".333",".357",".324","83","-9.2","-139.4","32.1","10.3"
"1937","Athletics","1762","5886","94","699","649","95","9.9 %","9.5 %",".130",".285",".267",".341",".397",".342","85","-5.5","-134.4","25.9","10.3"
"2005","Rockies","2302","6240","150","741","704","65","8.2 %","17.7 %",".144",".307",".267",".333",".411",".325","85","-10.7","-130.7","30.5","10.3"
"2003","Reds","2334","6211","182","694","669","80","8.4 %","21.3 %",".150",".289",".245",".318",".395",".312","84","10.4","-120.8","21.8","10.3"
"1942","White Sox","1520","5552","25","538","486","114","9.0 %","7.7 %",".073",".265",".246",".316",".318",".307","81","-6.3","-132.4","43.2","10.3"
"1994","Dodgers","1467","4371","115","532","505","74","8.4 %","15.7 %",".144",".300",".270",".333",".414",".327","100","-1.4","0.8","-38.9","10.3"
"2014","Diamondbacks","2274","6089","118","615","573","86","6.5 %","19.1 %",".127",".293",".248",".302",".376",".300","83","1.0","-113.3","26.4","10.3"
"1965","Cubs","2157","6177","134","634","586","65","8.6 %","15.2 %",".121",".262",".237",".307",".359",".298","85","-4.3","-112.4","9.9","10.3"
"2012","Indians","2339","6195","136","667","635","110","9.0 %","17.5 %",".131",".288",".251",".324",".381",".310","97","-13.3","-37.4","-70.0","10.3"
"2006","Devil Rays","2247","6041","190","689","650","134","7.3 %","18.3 %",".165",".285",".255",".314",".420",".316","89","1.9","-84.4","-19.0","10.3"
"1958","Cardinals","2063","5891","111","619","570","44","9.0 %","10.8 %",".119",".277",".261",".329",".380",".315","84","-4.6","-120.3","33.5","10.2"
"1926","Braves","1711","5870","16","624","560","81","7.3 %","5.9 %",".073",".294",".277",".335",".350",".325","90","13.5","-62.5","-11.5","10.2"
"1924","Red Sox","1800","6176","30","738","668","78","9.8 %","6.9 %",".097",".297",".277",".356",".375",".346","88","5.1","-92.7","-20.6","10.2"
"2011","Orioles","2262","6156","191","708","684","81","7.3 %","18.2 %",".156",".288",".257",".316",".413",".320","96","-11.3","-39.1","-63.0","10.2"
"2003","Dodgers","2292","6036","124","574","544","80","6.7 %","16.3 %",".125",".275",".243",".303",".368",".294","78","-10.2","-178.7","84.4","10.2"
"1976","Tigers","1786","6018","101","609","566","107","7.5 %","12.1 %",".108",".279",".257",".315",".365",".314","94","-2.0","-39.8","-54.2","10.2"
"1989","Phillies","2231","6119","123","629","593","106","9.1 %","15.1 %",".121",".271",".243",".314",".364",".307","93","-0.6","-50.5","-48.9","10.2"
"2008","Reds","2392","6188","187","704","677","85","9.0 %","18.2 %",".161",".278",".247",".321",".408",".319","87","1.1","-103.3","5.0","10.2"
"1928","Indians","1712","5989","34","677","619","49","6.3 %","6.8 %",".097",".304",".285",".336",".383",".334","86","-15.3","-121.5","9.8","10.2"
"2000","Rangers","1874","6364","173","848","806","69","9.1 %","14.5 %",".163",".310",".283",".352",".446",".347","97","-7.0","-37.4","-76.8","10.2"
"2009","Orioles","2281","6233","160","741","708","76","8.3 %","16.3 %",".147",".300",".268",".332",".415",".328","93","-20.1","-74.3","-37.1","10.2"
"1990","Yankees","1821","6037","147","603","561","119","7.1 %","17.0 %",".125",".270",".241",".300",".366",".300","85","3.8","-101.5","11.2","10.1"
"1947","Reds","1844","5952","95","681","637","46","9.1 %","8.9 %",".116",".273",".259",".330",".375",".331","88","8.1","-83.5","-17.4","10.1"
"1989","Tigers","1782","6133","116","617","564","103","9.5 %","14.7 %",".109",".269",".242",".318",".351",".307","92","-1.4","-59.4","-48.0","10.1"
"1916","Cardinals","1784","5514","25","476","413","182","6.1 %","11.8 %",".075",".275",".243",".295",".318",".299","87","1.5","-67.5","-20.4","10.1"
"2008","Rockies","2310","6312","160","747","714","141","9.0 %","19.2 %",".152",".308",".263",".336",".415",".330","88","15.2","-80.7","-22.6","10.1"
"1972","White Sox","2019","5721","108","566","528","100","8.9 %","17.3 %",".108",".274",".238",".310",".346",".300","92","2.9","-42.1","-35.1","10.1"
"1921","Red Sox","1621","5840","17","666","589","83","7.3 %","5.9 %",".084",".293",".276",".334",".360",".325","80","4.9","-158.0","59.5","10.1"
"1958","Orioles","2068","5712","108","521","492","33","8.5 %","12.7 %",".109",".261",".241",".308",".351",".297","86","-3.9","-99.2","17.9","10.0"
"1993","Rockies","2245","6073","142","758","704","146","6.4 %","15.5 %",".149",".304",".273",".323",".422",".328","84","-7.1","-124.8","10.9","10.0"
"2007","Diamondbacks","2305","6101","171","712","687","109","8.7 %","18.2 %",".163",".282",".250",".321",".413",".320","82","8.8","-132.9","34.1","10.0"
"1995","Padres","2016","5527","116","668","618","124","8.1 %","15.8 %",".125",".307",".272",".334",".397",".324","95","3.4","-30.4","-53.0","10.0"
"2016","Braves","1999","6192","122","649","615","75","8.1 %","20.0 %",".130",".305",".255",".321",".384",".304","86","-6.6","-111.3","11.9","10.0"
"1976","Brewers","1740","6057","88","570","536","62","8.4 %","15.0 %",".095",".278",".246",".311",".340",".303","91","-11.8","-69.0","-25.2","10.0"
"1998","Marlins","2202","6228","114","667","621","115","8.4 %","18.0 %",".124",".291",".248",".317",".373",".306","85","-1.8","-119.1","24.9","10.0"
"1986","Cubs","2253","6127","155","680","638","132","8.3 %","15.8 %",".141",".283",".256",".318",".398",".316","89","1.1","-78.4","-25.5","9.9"
"2002","Brewers","2329","6083","139","627","597","94","8.2 %","18.5 %",".137",".294",".253",".320",".390",".312","86","-26.4","-131.8","33.0","9.9"
"2015","Phillies","2321","6053","130","626","586","88","6.4 %","21.0 %",".133",".299",".249",".303",".382",".298","87","-1.7","-94.0","-1.7","9.9"
"2011","Pirates","2444","6064","107","610","580","108","8.1 %","21.6 %",".123",".301",".244",".309",".368",".299","87","-15.2","-103.1","7.8","9.8"
"1985","White Sox","1984","6089","146","735","695","108","7.7 %","13.8 %",".139",".274",".253",".315",".392",".314","89","-2.5","-81.3","-22.1","9.8"
"1967","Athletics","2093","5932","69","526","481","118","7.6 %","17.1 %",".097",".273",".233",".296",".330",".284","83","7.3","-99.9","31.2","9.8"
"2011","White Sox","2206","6159","154","654","625","81","7.7 %","16.1 %",".136",".280",".252",".319",".388",".312","90","-9.9","-80.0","-26.0","9.8"
"1968","White Sox","2252","5965","71","463","431","90","6.7 %","14.1 %",".083",".257",".228",".284",".311",".273","79","1.7","-122.0","60.8","9.8"
"1956","Cubs","1895","5849","142","596","563","55","7.6 %","13.2 %",".138",".260",".244",".302",".382",".303","81","-1.4","-136.7","69.3","9.8"
"2004","Brewers","2255","6195","135","634","601","138","8.7 %","21.2 %",".139",".300",".248",".321",".387",".309","82","1.8","-144.7","36.7","9.8"
"1938","White Sox","1573","5806","67","709","657","56","8.9 %","8.4 %",".106",".295",".277",".344",".383",".339","82","-8.3","-162.1","40.2","9.8"
"1973","Angels","1898","6153","93","629","595","59","8.3 %","13.3 %",".094",".281",".253",".318",".348",".304","93","-3.7","-50.6","-64.0","9.8"
"1999","Angels","1797","6132","158","711","673","71","8.3 %","16.7 %",".139",".286",".256",".322",".395",".316","80","-6.1","-170.9","52.6","9.8"
"1979","Giants","2168","6133","125","672","616","140","9.5 %","15.1 %",".118",".274",".246",".319",".365",".307","89","0.3","-76.9","-35.2","9.8"
"1980","Mets","2141","6130","61","611","554","158","8.2 %","13.7 %",".088",".291",".257",".319",".345",".300","87","-8.3","-97.0","-1.6","9.8"
"1922","Phillies","1677","6088","116","738","685","48","7.4 %","10.0 %",".133",".300",".282",".341",".415",".349","82","-3.4","-149.1","25.4","9.8"
"1989","Indians","1720","6111","127","604","567","74","8.2 %","15.3 %",".120",".273",".245",".310",".365",".305","89","-7.4","-85.8","-22.5","9.7"
"1983","Indians","1734","6222","86","704","659","109","9.7 %","11.1 %",".104",".287",".265",".338",".369",".319","95","-7.3","-40.4","-71.9","9.7"
"1952","Browns","1990","6001","82","604","574","30","9.0 %","11.9 %",".105",".276",".250",".322",".356",".318","83","-1.6","-124.8","28.2","9.7"
"1997","Phillies","2163","6130","116","668","622","92","8.5 %","16.8 %",".130",".293",".255",".322",".385",".313","82","-5.3","-145.4","48.1","9.7"
"1932","Cardinals","1771","5972","76","684","626","92","7.0 %","8.6 %",".117",".286",".269",".324",".385",".324","86","17.4","-89.6","-1.6","9.6"
"1960","Red Sox","2045","5931","124","658","623","34","9.6 %","13.5 %",".128",".284",".261",".333",".389",".325","92","-2.2","-63.0","-17.9","9.6"
"1977","Mariners","1678","6049","133","624","589","110","7.0 %","12.7 %",".125",".275",".256",".312",".381",".309","87","-0.9","-94.8","-14.0","9.6"
"1994","Pirates","1554","4301","80","466","435","53","8.1 %","16.9 %",".125",".298",".259",".322",".384",".311","82","-0.3","-99.8","52.8","9.6"
"2002","Rockies","2393","6165","152","778","726","103","8.1 %","16.9 %",".149",".311",".274",".337",".423",".331","82","-0.4","-138.4","34.1","9.6"
"1988","White Sox","1703","6037","132","631","573","98","7.4 %","15.0 %",".127",".269",".244",".303",".370",".301","87","-2.2","-92.0","-13.7","9.6"
"1950","White Sox","1880","5943","93","625","592","19","9.2 %","9.5 %",".104",".277",".260",".333",".364",".326","80","-7.6","-169.6","54.1","9.6"
"1994","Rangers","1156","4531","124","613","582","82","9.6 %","16.1 %",".157",".313",".280",".353",".436",".345","100","1.1","2.3","-56.5","9.6"
"2003","Expos","2275","6116","144","711","682","100","8.5 %","16.2 %",".143",".290",".258",".326",".401",".316","85","-4.6","-124.7","21.3","9.6"
"2003","Brewers","2293","6270","196","714","685","99","8.7 %","19.5 %",".163",".294",".256",".329",".419",".325","93","-27.1","-81.9","-26.6","9.6"
"1990","Cubs","2232","6149","136","690","649","151","6.6 %","14.1 %",".129",".288",".263",".314",".392",".314","87","8.2","-86.3","-38.7","9.6"
"1972","Expos","2048","5817","91","513","462","68","8.1 %","14.2 %",".092",".261",".234",".303",".325",".289","78","-8.4","-151.1","49.5","9.6"
"1992","Mets","2308","6061","93","599","564","129","9.4 %","15.8 %",".107",".268",".235",".310",".342",".298","86","4.4","-90.6","-11.0","9.6"
"2015","Rockies","2436","6071","186","737","702","97","6.4 %","21.1 %",".167",".313",".265",".315",".432",".321","85","3.7","-106.2","6.7","9.5"
"1944","Athletics","1708","5872","36","525","475","42","7.2 %","8.3 %",".070",".277",".257",".314",".327",".306","82","-7.2","-130.2","30.4","9.5"
"1981","Padres","1490","4176","32","382","350","83","7.4 %","12.5 %",".090",".288",".257",".314",".346",".301","91","-6.3","-46.5","-2.8","9.5"
"1918","Braves","1250","4681","13","422","353","81","7.5 %","9.3 %",".064",".270",".243",".307",".307",".304","92","-8.0","-48.1","-11.7","9.5"
"1972","Phillies","2051","5862","98","503","469","42","8.3 %","15.9 %",".108",".268",".236",".302",".344",".296","82","-8.1","-126.7","18.9","9.5"
"1948","Phillies","1773","5826","91","591","548","68","7.5 %","10.2 %",".109",".277",".259",".318",".368",".322","86","11.3","-88.3","-7.5","9.5"
"1985","Rangers","1737","6005","129","617","578","130","8.8 %","13.6 %",".127",".276",".253",".322",".381",".315","91","-6.2","-68.3","-36.7","9.4"
"1946","Pirates","1905","5904","60","552","508","48","10.0 %","9.4 %",".094",".271",".250",".328",".344",".322","88","6.5","-74.7","-10.0","9.4"
"1970","Brewers","2231","6170","126","613","571","91","9.6 %","16.0 %",".116",".273",".242",".319",".358",".307","88","-8.9","-100.3","0.7","9.4"
"2001","Reds","2334","6218","176","735","689","103","7.5 %","18.8 %",".157",".301",".262",".324",".419",".321","88","-3.1","-99.8","-7.2","9.4"
"1942","Senators","1656","5947","40","653","593","98","9.7 %","9.0 %",".083",".281",".258",".333",".341",".325","93","5.6","-46.8","-74.4","9.4"
"1940","Senators","1667","5909","52","665","602","94","7.9 %","8.5 %",".104",".291",".271",".331",".374",".326","86","-1.2","-113.0","-4.7","9.3"
"2001","Orioles","1839","6151","136","687","663","133","8.4 %","16.1 %",".131",".278",".248",".319",".380",".306","88","3.3","-91.5","-26.5","9.3"
"1973","Indians","1701","6178","158","680","636","60","7.6 %","12.8 %",".132",".271",".256",".315",".387",".318","95","-11.8","-47.6","-73.0","9.3"
"1970","Tigers","2117","6199","148","666","619","29","10.6 %","13.3 %",".135",".255",".238",".322",".374",".314","89","-4.2","-84.0","-18.8","9.3"
"1956","Giants","2027","5708","145","538","497","67","7.0 %","11.5 %",".138",".254",".244",".299",".383",".302","82","2.6","-122.5","53.3","9.3"
"1922","Athletics","1718","5857","111","704","631","60","7.5 %","10.1 %",".132",".287",".270",".331",".402",".339","87","-5.8","-105.5","11.1","9.3"
"2012","Rockies","2429","6183","166","758","716","100","7.3 %","19.6 %",".163",".321",".274",".330",".436",".331","90","3.1","-73.5","-30.1","9.3"
"1919","Robins","1466","5283","25","525","452","112","4.9 %","7.7 %",".077",".283",".263",".304",".340",".308","89","-2.5","-60.0","-9.0","9.3"
"1941","White Sox","1592","6005","47","638","567","91","8.5 %","7.9 %",".089",".272",".254",".321",".343",".315","77","-6.2","-186.5","61.2","9.2"
"1976","Angels","1927","6104","63","550","511","126","8.7 %","13.3 %",".083",".264",".235",".306",".318",".291","88","-6.0","-83.4","-18.2","9.2"
"1985","Brewers","1622","6158","101","690","636","69","7.5 %","12.1 %",".115",".286",".263",".319",".379",".311","92","-1.7","-62.7","-50.4","9.2"
"1979","Mets","2158","6231","74","593","558","135","8.0 %","13.1 %",".100",".280",".250",".313",".350",".299","84","-3.1","-122.7","2.7","9.2"
