"Season","Team","W","L","SV","G","GS","IP","R","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"1993","Braves","104","58","46","515","162","1455.0","559","6.41","2.97","0.62",".273","74.8 %","","","3.14","3.50","","25.8"
"1965","Twins","102","60","45","461","162","1457.1","600","5.77","3.11","1.03",".250","76.7 %","","","3.14","3.81","","11.9"
"1979","Expos","95","65","39","420","160","1447.1","581","5.06","2.80","0.72",".272","75.2 %","","","3.14","3.63","","15.0"
"1952","Yankees","95","59","27","297","154","1381.0","557","4.34","3.79","0.61",".259","75.3 %","","","3.14","3.65","","10.6"
"1941","Dodgers","100","54","22","314","157","1421.0","581","3.82","3.14","0.51",".245","71.4 %","","","3.14","3.64","","17.0"
"1916","Cardinals","60","93","15","280","153","1355.0","629","3.51","2.96","0.21",".280","67.0 %","","","3.14","2.91","","7.6"
"1992","Braves","98","64","41","500","162","1460.0","569","5.84","3.01","0.55",".273","74.0 %","","","3.14","3.34","","18.8"
"1945","Browns","81","70","8","264","154","1382.2","548","3.71","3.29","0.38",".264","73.2 %","","","3.14","3.38","","17.3"
"1970","Orioles","108","54","31","390","162","1478.2","574","5.73","2.85","0.85",".260","76.5 %","","","3.15","3.59","","20.4"
"1943","Indians","82","71","20","311","153","1406.1","577","3.74","3.88","0.33",".256","71.8 %","","","3.15","3.40","","9.4"
"2016","Cubs","103","58","38","665","162","1459.2","556","8.88","3.05","1.01",".255","77.5 %","46.9 %","13.1 %","3.15","3.77","3.74","20.4"
"1918","Phillies","55","68","6","186","125","1139.2","507","2.46","2.91","0.17",".263","67.3 %","","","3.15","2.98","","9.7"
"1986","Astros","96","66","51","461","162","1456.1","569","7.17","3.23","0.72",".260","74.4 %","","","3.15","3.34","","17.8"
"1964","Yankees","99","63","45","379","164","1506.2","577","5.91","3.01","0.77",".258","76.1 %","","","3.15","3.45","","19.1"
